Image Path;IoU Score
100k/val/b1c66a42-6f7d68ca;0.8045022
100k/val/b1c81faa-3df17267;0.8926191
100k/val/b1c81faa-c80764c5;0.78120774
100k/val/b1c9c847-3bda4659;0.7850691
100k/val/b1ca2e5d-84cf9134;0.55708355
100k/val/b1ca8418-84a133a0;0.39536923
100k/val/b1cac6a7-04e33135;0.42176807
100k/val/b1cd1e94-26dd524f;0.90259546
100k/val/b1cd1e94-549d0bfe;0.5277411
100k/val/b1ceb32e-3f481b43;0.30550689
100k/val/b1ceb32e-51852abe;0.944648
100k/val/b1ceb32e-813f84b2;0.5104396
100k/val/b1ceb32e-a106591d;0.59448826
100k/val/b1cebfb7-284f5117;0.58788073
100k/val/b1d0091f-75824d0d;0.8238416
100k/val/b1d0091f-f2c2d2ae;0.40818533
100k/val/b1d0a191-03dcecc2;0.5938199
100k/val/b1d0a191-06deb55d;0.7976197
100k/val/b1d0a191-28f0e779;0.5172898
100k/val/b1d0a191-2ed2269e;0.3170246
100k/val/b1d0a191-5490450b;0.5213484
100k/val/b1d0a191-65deaeef;0.5334474
100k/val/b1d0a191-de8948f6;0.83794755
100k/val/b1d10d08-5b108225;0.8754436
100k/val/b1d10d08-743fd86c;0.64491546
100k/val/b1d10d08-c35503b8;0.9646834
100k/val/b1d10d08-da110fcb;0.9204561
100k/val/b1d10d08-ec660956;0.47490573
100k/val/b1d22449-117aa773;0.7567228
100k/val/b1d22449-15fb948f;0.8858375
100k/val/b1d22ed6-f1cac061;0.6776179
100k/val/b1d3907b-2278601b;0.8635265
100k/val/b1d4b62c-60aab822;0.8636214
100k/val/b1d4b62c-89eeb5d3;0.531433
100k/val/b1d4b62c-d9805029;0.74371254
100k/val/b1d59b1f-a38aec79;0.8872684
100k/val/b1d7b3ac-0bdb47dc;0.5376696
100k/val/b1d7b3ac-2a92e19f;0.46685594
100k/val/b1d7b3ac-36f2d3b7;0.48304772
100k/val/b1d7b3ac-5744370e;0.6312182
100k/val/b1d7b3ac-5af8623b;0.3338064
100k/val/b1d7b3ac-995f9d8a;0.5448146
100k/val/b1d7b3ac-9e14f05f;0.61864316
100k/val/b1d7b3ac-afa57f22;0.58693755
100k/val/b1d8735d-eee9f184;0.50770724
100k/val/b1d968b9-563405f4;0.4505467
100k/val/b1d968b9-ce42734f;0.9034047
100k/val/b1d971b4-ac67ca0d;0.83511084
100k/val/b1d9e136-6c94ea3f;0.46524215
100k/val/b1d9e136-9ab25cb3;0.56077373
100k/val/b1da9c53-0f3d4c5d;0.54314756
100k/val/b1dac7f7-6b2e0382;0.40902734
100k/val/b1db7e22-cfa74dc3;0.5325978
100k/val/b1dce572-c6a8cb5e;0.55663884
100k/val/b1dd58c1-8b546ba7;0.5772257
100k/val/b1df722f-57d21f3f;0.8495221
100k/val/b1df722f-5bcc3db7;0.8447401
100k/val/b1e0c01d-dd9e6e2f;0.9404944
100k/val/b1e1a7b8-0aec80e8;0.5443689
100k/val/b1e1a7b8-65ec7612;0.5236468
100k/val/b1e1a7b8-a7426a97;0.5925343
100k/val/b1e1a7b8-b397c445;0.5602237
100k/val/b1e2346e-c5f98707;0.41777557
100k/val/b1e3e9f5-92377424;0.34624666
100k/val/b1e62c91-eca210a9;0.61970663
100k/val/b1e6efc0-2552cc5d;0.38728803
100k/val/b1e88fd2-c1e4fd2b;0.9526221
100k/val/b1e8ad72-c3c79240;0.88454074
100k/val/b1e9ee0e-67e26f2e;0.48060977
100k/val/b1ea0ae4-4f770228;0.47332978
100k/val/b1eb9133-5cc75c18;0.9465054
100k/val/b1ebfc3c-740ec84a;0.8639476
100k/val/b1ebfc3c-cc9c2bb8;0.57356584
100k/val/b1ee702d-0ae1fc10;0.88602704
100k/val/b1ee702d-4a193906;0.60909146
100k/val/b1ee702d-525fcebf;0.46213436
100k/val/b1f022d3-3774de8b;0.8602774
100k/val/b1f022d3-45162c67;0.7654617
100k/val/b1f0efd9-37a14dda;0.7926046
100k/val/b1f0efd9-e900c6e5;0.57658505
100k/val/b1f20aa0-3401c3bf;0.5536443
100k/val/b1f20aa0-50213047;0.64837
100k/val/b1f20aa0-6ef1db42;0.6817932
100k/val/b1f25ff6-1ddb7e43;0.9315758
100k/val/b1f4491b-07b32e8c;0.45555013
100k/val/b1f4491b-09593e90;0.6298126
100k/val/b1f4491b-16256d7c;0.67742634
100k/val/b1f4491b-33824f31;0.68082654
100k/val/b1f4491b-846d8cb2;0.7001618
100k/val/b1f4491b-97465266;0.33333334
100k/val/b1f4491b-9958bd99;0.5817418
100k/val/b1f4491b-bf7d513f;0.87112916
100k/val/b1f4491b-cf446195;0.858075
100k/val/b1f4491b-d8d1459c;0.4786168
100k/val/b1f4491b-dd8dfed5;0.70028734
100k/val/b1f62c41-ed0c6521;0.58065933
